RowName,BPClass
Anubis,/Game/Pal/Blueprint/Character/Monster/PalActorBP/Anubis/BP_Anubis.BP_Anubis_C
Baphomet,/Game/Pal/Blueprint/Character/Monster/PalActorBP/Baphomet/BP_Baphomet.BP_Baphomet_C
Bastet,/Game/Pal/Blueprint/Character/Monster/PalActorBP/Bastet/BP_Bastet.BP_Bastet_C
Boar,/Game/Pal/Blueprint/Character/Monster/PalActorBP/Boar/BP_Boar.BP_Boar_C
Carbunclo,/Game/Pal/Blueprint/Character/Monster/PalActorBP/Carbunclo/BP_Carbunclo.BP_Carbunclo_C
ColorfulBird,/Game/Pal/Blueprint/Character/Monster/PalActorBP/ColorfulBird/BP_ColorfulBird.BP_ColorfulBird_C
Deer,/Game/Pal/Blueprint/Character/Monster/PalActorBP/Deer/BP_Deer_Normal.BP_Deer_Normal_C
DrillGame,/Game/Pal/Blueprint/Character/Monster/PalActorBP/DrillGame/BP_DrillGame.BP_DrillGame_C
Eagle,/Game/Pal/Blueprint/Character/Monster/PalActorBP/Eagle/BP_Eagle.BP_Eagle_C
ElecPanda,/Game/Pal/Blueprint/Character/Monster/PalActorBP/ElecPanda/BP_ElecPanda_Normal.BP_ElecPanda_Normal_C
Ganesha,/Game/Pal/Blueprint/Character/Monster/PalActorBP/Ganesha/BP_Ganesha.BP_Ganesha_C
Garm,/Game/Pal/Blueprint/Character/Monster/PalActorBP/Garm/BP_Garm.BP_Garm_C
Gorilla,/Game/Pal/Blueprint/Character/Monster/PalActorBP/Gorilla/BP_Gorilla.BP_Gorilla_C
Hedgehog,/Game/Pal/Blueprint/Character/Monster/PalActorBP/Hedgehog/BP_Hedgehog.BP_Hedgehog_C
Kirin,/Game/Pal/Blueprint/Character/Monster/PalActorBP/Kirin/BP_Kirin_Normal.BP_Kirin_Normal_C
Kitsunebi,/Game/Pal/Blueprint/Character/Monster/PalActorBP/Kitsunebi/BP_Kitsunebi.BP_Kitsunebi_C
LittleBriarRose,/Game/Pal/Blueprint/Character/Monster/PalActorBP/LittleBriarRose/BP_LIttleBriarRose.BP_LIttleBriarRose_C
Mutant,/Game/Pal/Blueprint/Character/Monster/PalActorBP/Mutant/BP_Mutant.BP_Mutant_C
Owl,/Game/Pal/Blueprint/Character/Monster/PalActorBP/WizardOwl/BP_WizardOwl.BP_WizardOwl_C
Penguin,/Game/Pal/Blueprint/Character/Monster/PalActorBP/Penguin/BP_Penguin.BP_Penguin_C
RaijinDaughter,/Game/Pal/Blueprint/Character/Monster/PalActorBP/RaijinDaughter/BP_RaijinDaughter.BP_RaijinDaughter_C
SharkKid,/Game/Pal/Blueprint/Character/Monster/PalActorBP/SharkKid/BP_SharkKid.BP_SharkKid_C
SheepBall,/Game/Pal/Blueprint/Character/Monster/PalActorBP/SheepBall/BP_SheepBall.BP_SheepBall_C
Umihebi,/Game/Pal/Blueprint/Character/Monster/PalActorBP/Umihebi/BP_Umihebi.BP_Umihebi_C
Werewolf,/Game/Pal/Blueprint/Character/Monster/PalActorBP/Werewolf/BP_Werewolf.BP_Werewolf_C
WindChimes,/Game/Pal/Blueprint/Character/Monster/PalActorBP/WindChimes/BP_WindChimes.BP_WindChimes_C
Suzaku,/Game/Pal/Blueprint/Character/Monster/PalActorBP/Suzaku/BP_Suzaku.BP_Suzaku_C
FireKirin,/Game/Pal/Blueprint/Character/Monster/PalActorBP/FireKirin/BP_FireKirin_Normal.BP_FireKirin_Normal_C
FairyDragon,/Game/Pal/Blueprint/Character/Monster/PalActorBP/FairyDragon/BP_FairyDragon.BP_FairyDragon_C
SweetsSheep,/Game/Pal/Blueprint/Character/Monster/PalActorBP/SweetsSheep/BP_SweetsSheep.BP_SweetsSheep_C
WhiteTiger,/Game/Pal/Blueprint/Character/Monster/PalActorBP/WhiteTiger/BP_WhiteTiger.BP_WhiteTiger_C
