RowName,ParentTribeA,ParentGenderA,ParentTribeB,ParentGenderB,ChildCharacterID
2,LazyDragon,None,ElecCat,None,LazyDragon_Electric
3,Baphomet,None,GhostBeast,None,Baphomet_Dark
4,Bastet,None,Penguin,None,Bastet_Ice
5,BirdDragon,None,IceFox,None,BirdDragon_Ice
6,Deer,None,WindChimes,None,Deer_Ground
7,FairyDragon,None,Serpent,None,FairyDragon_Water
8,FireKirin,None,CatMage,None,FireKirin_Dark
9,GrassMammoth,None,Yeti,None,GrassMammoth_Ice
10,GrassPanda,None,ElecPanda,None,GrassPanda_Electric
11,FlowerDinosaur,None,ThunderDog,None,FlowerDinosaur_Electric
12,Hedgehog,None,Penguin,None,Hedgehog_Ice
13,IceHorse,None,HadesBird,None,IceHorse_Dark
14,KingAlpaca,None,IceDeer,None,KingAlpaca_Ice
15,LilyQueen,None,DarkScorpion,None,LilyQueen_Dark
16,LizardMan,None,LavaGirl,None,LizardMan_Fire
17,Manticore,None,CatVampire,None,Manticore_Dark
18,RobinHood,None,CuteMole,None,RobinHood_Ground
19,SakuraSaurus,None,Blueplatypus,None,SakuraSaurus_Water
20,Serpent,None,LazyCatfish,None,Serpent_Ground
21,SharkKid,None,FlameBambi,None,SharkKid_Fire
22,Suzaku,None,Umihebi,None,Suzaku_Water
23,VolcanicMonster,None,IceFox,None,VolcanicMonster_Ice
24,WindChimes,None,MopBaby,None,WindChimes_Ice
25,IceHorse,None,IceHorse,None,IceHorse
26,JetDragon,None,JetDragon,None,JetDragon
27,SaintCentaur,None,SaintCentaur,None,SaintCentaur
28,BlackCentaur,None,BlackCentaur,None,BlackCentaur
29,LilyQueen,None,LilyQueen,None,LilyQueen
30,Horus,None,Horus,None,Horus
31,ElecPanda,None,ElecPanda,None,ElecPanda
32,ThunderDragonMan,None,ThunderDragonMan,None,ThunderDragonMan
33,BlackGriffon,None,BlackGriffon,None,BlackGriffon
34,Umihebi_Fire,None,Umihebi_Fire,None,Umihebi_Fire
35,LazyDragon_Electric,None,LazyDragon_Electric,None,LazyDragon_Electric
36,Baphomet_Dark,None,Baphomet_Dark,None,Baphomet_Dark
37,Bastet_Ice,None,Bastet_Ice,None,Bastet_Ice
38,BirdDragon_Ice,None,BirdDragon_Ice,None,BirdDragon_Ice
39,Deer_Ground,None,Deer_Ground,None,Deer_Ground
40,FairyDragon_Water,None,FairyDragon_Water,None,FairyDragon_Water
41,FireKirin_Dark,None,FireKirin_Dark,None,FireKirin_Dark
42,GrassMammoth_Ice,None,GrassMammoth_Ice,None,GrassMammoth_Ice
43,GrassPanda_Electric,None,GrassPanda_Electric,None,GrassPanda_Electric
44,FlowerDinosaur_Electric,None,FlowerDinosaur_Electric,None,FlowerDinosaur_Electric
45,Hedgehog_Ice,None,Hedgehog_Ice,None,Hedgehog_Ice
46,IceHorse_Dark,None,IceHorse_Dark,None,IceHorse_Dark
47,KingAlpaca_Ice,None,KingAlpaca_Ice,None,KingAlpaca_Ice
48,LilyQueen_Dark,None,LilyQueen_Dark,None,LilyQueen_Dark
49,LizardMan_Fire,None,LizardMan_Fire,None,LizardMan_Fire
50,Manticore_Dark,None,Manticore_Dark,None,Manticore_Dark
51,RobinHood_Ground,None,RobinHood_Ground,None,RobinHood_Ground
52,SakuraSaurus_Water,None,SakuraSaurus_Water,None,SakuraSaurus_Water
53,Serpent_Ground,None,Serpent_Ground,None,Serpent_Ground
54,SharkKid_Fire,None,SharkKid_Fire,None,SharkKid_Fire
55,Suzaku_Water,None,Suzaku_Water,None,Suzaku_Water
56,VolcanicMonster_Ice,None,VolcanicMonster_Ice,None,VolcanicMonster_Ice
57,WindChimes_Ice,None,WindChimes_Ice,None,WindChimes_Ice
58,PinkKangaroo,None,PinkKangaroo,None,PinkKangaroo
59,BeardedDragon,None,BeardedDragon,None,BeardedDragon
60,BlackFurDragon,None,BlackFurDragon,None,BlackFurDragon
61,WaterLizard,None,WaterLizard,None,WaterLizard
62,ElecLion,None,ElecLion,None,ElecLion
63,GrassDragon,None,GrassDragon,None,GrassDragon
64,DarkMutant,None,DarkMutant,None,DarkMutant
65,Umihebi,None,Manticore,None,Umihebi_Fire
66,NightLady,None,NightLady,None,NightLady
67,NightLady_Dark,None,NightLady_Dark,None,NightLady_Dark
68,NightLady,None,NightLady_Dark,None,NightLady
69,Gorilla_Ground,None,Gorilla_Ground,None,Gorilla_Ground
70,KingBahamut_Dragon,None,KingBahamut_Dragon,None,KingBahamut_Dragon
71,FoxMage_Dark,None,FoxMage_Dark,None,FoxMage_Dark
72,CatMage_Fire,None,CatMage_Fire,None,CatMage_Fire
73,HerculesBeetle_Ground,None,HerculesBeetle_Ground,None,HerculesBeetle_Ground
74,WeaselDragon_Fire,None,WeaselDragon_Fire,None,WeaselDragon_Fire
75,SkyDragon_Grass,None,SkyDragon_Grass,None,SkyDragon_Grass
76,HadesBird_Electric,None,HadesBird_Electric,None,HadesBird_Electric
77,Ronin_Dark,None,Ronin_Dark,None,Ronin_Dark
78,DarkScorpion_Ground,None,DarkScorpion_Ground,None,DarkScorpion_Ground
79,MimicDog,None,MimicDog,None,MimicDog
80,CatMage,Male,FoxMage,Female,FoxMage_Dark
81,CatMage,Female,FoxMage,Male,CatMage_Fire
82,Gorilla,None,SmallArmadillo,None,Gorilla_Ground
83,WeaselDragon,None,FlameBuffalo,None,WeaselDragon_Fire
84,SkyDragon,None,LeafPrincess,None,SkyDragon_Grass
85,HadesBird,None,ThunderBird,None,HadesBird_Electric
86,Ronin,None,CandleGhost,None,Ronin_Dark
87,DarkScorpion,None,WingGolem,None,DarkScorpion_Ground
88,MoonQueen,None,MoonQueen,None,MoonQueen
89,DarkAlien,None,DarkAlien,None,DarkAlien
90,WhiteAlienDragon,None,WhiteAlienDragon,None,WhiteAlienDragon
91,DarkMechaDragon,None,DarkMechaDragon,None,DarkMechaDragon
92,SnowTigerBeastman,None,SnowTigerBeastman,None,SnowTigerBeastman
93,Kitsunebi,None,IceFox,None,Kitsunebi_Ice
94,RaijinDaughter,None,MysteryMask,None,RaijinDaughter_Water
95,WhiteTiger,None,FeatherOstrich,None,WhiteTiger_Ground
96,FengyunDeeper,None,BlueThunderHorse,None,FengyunDeeper_Electric
97,BerryGoat,None,PurpleSpider,None,BerryGoat_Dark
98,Werewolf,None,MopKing,None,WereWolf_Ice
99,Horus,None,Umihebi,None,Horus_Water
100,PinkRabbit,None,LittleBriarRose,None,PinkRabbit_Grass
101,HerculesBeetle,None,DrillGame,None,HerculesBeetle_Ground
102,AmaterasuWolf,None,BadCatgirl,None,AmaterasuWolf_Dark
103,Kitsunebi_Ice,None,Kitsunebi_Ice,None,Kitsunebi_Ice
104,RaijinDaughter_Water,None,RaijinDaughter_Water,None,RaijinDaughter_Water
105,WhiteTiger_Ground,None,WhiteTiger_Ground,None,WhiteTiger_Ground
106,FengyunDeeper_Electric,None,FengyunDeeper_Electric,None,FengyunDeeper_Electric
107,BerryGoat_Dark,None,BerryGoat_Dark,None,BerryGoat_Dark
108,Werewolf_Ice,None,Werewolf_Ice,None,WereWolf_Ice
109,Horus_Water,None,Horus_Water,None,Horus_Water
110,PinkRabbit_Grass,None,PinkRabbit_Grass,None,PinkRabbit_Grass
111,HerculesBeetle_Ground,None,HerculesBeetle_Ground,None,HerculesBeetle_Ground
112,AmaterasuWolf_Dark,None,AmaterasuWolf_Dark,None,AmaterasuWolf_Dark
113,GoldenHorse,None,Deer_Ground,None,WhiteDeer
114,WhiteDeer,None,WhiteDeer,None,WhiteDeer
115,YakushimaMonster001,None,YakushimaMonster001,None,YakushimaMonster001
116,YakushimaMonster001,None,YakushimaMonster001_Blue,None,YakushimaMonster001_Blue
117,YakushimaMonster001,None,YakushimaMonster001_Red,None,YakushimaMonster001_Red
118,YakushimaMonster001,None,YakushimaMonster001_Purple,None,YakushimaMonster001_Purple
119,YakushimaMonster001,None,YakushimaMonster001_Pink,None,YakushimaMonster001_Pink
120,YakushimaMonster001,None,YakushimaMonster001_Rainbow,None,YakushimaMonster001_Rainbow
121,YakushimaMonster001,None,YakushimaMonster002,None,YakushimaMonster002
122,YakushimaMonster001,None,YakushimaMonster003,None,YakushimaMonster001_Rainbow
123,YakushimaMonster001,None,YakushimaMonster003_Purple,None,YakushimaMonster001_Rainbow
124,YakushimaMonster001,None,YakushimaBoss001,None,YakushimaBoss001
125,YakushimaMonster001,None,YakushimaBoss001_Small,None,YakushimaBoss001_Small
126,YakushimaMonster001_Blue,None,YakushimaMonster001_Blue,None,YakushimaMonster001_Blue
127,YakushimaMonster001_Blue,None,YakushimaMonster001_Red,None,YakushimaMonster001_Purple
128,YakushimaMonster001_Blue,None,YakushimaMonster001_Purple,None,YakushimaMonster001_Purple
129,YakushimaMonster001_Blue,None,YakushimaMonster001_Pink,None,YakushimaMonster001_Pink
130,YakushimaMonster001_Blue,None,YakushimaMonster001_Rainbow,None,YakushimaMonster001_Rainbow
131,YakushimaMonster001_Blue,None,YakushimaMonster002,None,YakushimaMonster002
132,YakushimaMonster001_Blue,None,YakushimaMonster003,None,YakushimaMonster001_Rainbow
133,YakushimaMonster001_Blue,None,YakushimaMonster003_Purple,None,YakushimaMonster001_Rainbow
134,YakushimaMonster001_Blue,None,YakushimaBoss001,None,YakushimaBoss001
135,YakushimaMonster001_Blue,None,YakushimaBoss001_Small,None,YakushimaBoss001_Small
136,YakushimaMonster001_Red,None,YakushimaMonster001_Red,None,YakushimaMonster001_Red
137,YakushimaMonster001_Red,None,YakushimaMonster001_Purple,None,YakushimaMonster001_Purple
138,YakushimaMonster001_Red,None,YakushimaMonster001_Pink,None,YakushimaMonster001_Pink
139,YakushimaMonster001_Red,None,YakushimaMonster001_Rainbow,None,YakushimaMonster001_Rainbow
140,YakushimaMonster001_Red,None,YakushimaMonster002,None,YakushimaMonster002
141,YakushimaMonster001_Red,None,YakushimaMonster003,None,YakushimaMonster001_Rainbow
142,YakushimaMonster001_Red,None,YakushimaMonster003_Purple,None,YakushimaMonster001_Rainbow
143,YakushimaMonster001_Red,None,YakushimaBoss001,None,YakushimaBoss001
144,YakushimaMonster001_Red,None,YakushimaBoss001_Small,None,YakushimaBoss001_Small
145,YakushimaMonster001_Purple,None,YakushimaMonster001_Purple,None,YakushimaMonster001_Purple
146,YakushimaMonster001_Purple,None,YakushimaMonster001_Pink,None,YakushimaMonster001_Pink
147,YakushimaMonster001_Purple,None,YakushimaMonster001_Rainbow,None,YakushimaMonster001_Rainbow
148,YakushimaMonster001_Purple,None,YakushimaMonster002,None,YakushimaMonster002
149,YakushimaMonster001_Purple,None,YakushimaMonster003,None,YakushimaMonster003_Purple
150,YakushimaMonster001_Purple,None,YakushimaMonster003_Purple,None,YakushimaMonster003_Purple
151,YakushimaMonster001_Purple,None,YakushimaBoss001,None,YakushimaBoss001
152,YakushimaMonster001_Purple,None,YakushimaBoss001_Small,None,YakushimaBoss001_Small
153,YakushimaMonster001_Pink,None,YakushimaMonster001_Pink,None,YakushimaMonster001_Pink
154,YakushimaMonster001_Pink,None,YakushimaMonster001_Rainbow,None,YakushimaMonster001_Rainbow
155,YakushimaMonster001_Pink,None,YakushimaMonster002,None,YakushimaMonster002
156,YakushimaMonster001_Pink,None,YakushimaMonster003,None,YakushimaMonster001_Rainbow
157,YakushimaMonster001_Pink,None,YakushimaMonster003_Purple,None,YakushimaMonster001_Rainbow
158,YakushimaMonster001_Pink,None,YakushimaBoss001,None,YakushimaBoss001
159,YakushimaMonster001_Pink,None,YakushimaBoss001_Small,None,YakushimaBoss001_Small
160,YakushimaMonster001_Rainbow,None,YakushimaMonster001_Rainbow,None,YakushimaMonster001_Rainbow
161,YakushimaMonster001_Rainbow,None,YakushimaMonster002,None,YakushimaMonster001_Rainbow
162,YakushimaMonster001_Rainbow,None,YakushimaMonster003,None,YakushimaMonster001_Rainbow
163,YakushimaMonster001_Rainbow,None,YakushimaMonster003_Purple,None,YakushimaMonster001_Rainbow
164,YakushimaMonster001_Rainbow,None,YakushimaBoss001,None,YakushimaBoss001
165,YakushimaMonster001_Rainbow,None,YakushimaBoss001_Small,None,YakushimaBoss001_Small
166,YakushimaMonster002,None,YakushimaMonster002,None,YakushimaMonster002
167,YakushimaMonster002,None,YakushimaMonster003,None,YakushimaMonster002
168,YakushimaMonster002,None,YakushimaMonster003_Purple,None,YakushimaMonster002
169,YakushimaMonster002,None,YakushimaBoss001,None,YakushimaBoss001
170,YakushimaMonster002,None,YakushimaBoss001_Small,None,YakushimaBoss001_Small
171,YakushimaMonster003,None,YakushimaMonster003,None,YakushimaMonster003
172,YakushimaMonster003,None,YakushimaMonster003_Purple,None,YakushimaMonster003_Purple
173,YakushimaMonster003,None,YakushimaBoss001,None,YakushimaBoss001
174,YakushimaMonster003,None,YakushimaBoss001_Small,None,YakushimaBoss001_Small
175,YakushimaMonster003_Purple,None,YakushimaMonster003_Purple,None,YakushimaMonster003_Purple
176,YakushimaMonster003_Purple,None,YakushimaBoss001,None,YakushimaBoss001
177,YakushimaMonster003_Purple,None,YakushimaBoss001_Small,None,YakushimaBoss001_Small
178,YakushimaBoss001,None,YakushimaBoss001,None,YakushimaBoss001
179,YakushimaBoss001,None,YakushimaBoss001_Small,None,YakushimaBoss001
180,YakushimaBoss001_Small,None,YakushimaBoss001_Small,None,YakushimaBoss001_Small
181,NegativeOctopus_Neutral,None,NegativeOctopus_Neutral,None,NegativeOctopus_Neutral
182,Penguin_Electric,None,Penguin_Electric,None,Penguin_Electric
183,CaptainPenguin_Black,None,CaptainPenguin_Black,None,CaptainPenguin_Black
184,FlyingManta_Thunder,None,FlyingManta_Thunder,None,FlyingManta_Thunder
185,BluePlatypus_Fire,None,BluePlatypus_Fire,None,BluePlatypus_Fire
186,LazyCatfish_Gold,None,LazyCatfish_Gold,None,LazyCatfish_Gold
187,TentacleTurtle_Ground,None,TentacleTurtle_Ground,None,TentacleTurtle_Ground
188,KendoFrog_Dark,None,KendoFrog_Dark,None,KendoFrog_Dark
189,BlueDragon_Ice,None,BlueDragon_Ice,None,BlueDragon_Ice
190,IceNarwhal_Fire,None,IceNarwhal_Fire,None,IceNarwhal_Fire
191,GhostAnglerfish_Fire,None,GhostAnglerfish_Fire,None,GhostAnglerfish_Fire
192,StuffedShark_Fire,None,StuffedShark_Fire,None,StuffedShark_Fire
193,PoseidonOrca,None,PoseidonOrca,None,PoseidonOrca
194,NegativeOctopus,None,PinkRabbit,None,NegativeOctopus_Neutral
195,Penguin,None,ElecCat,None,Penguin_Electric
196,CaptainPenguin,None,ThunderDog,None,CaptainPenguin_Black
197,FlyingManta,None,Kirin,None,FlyingManta_Thunder
198,Blueplatypus,None,LavaGirl,None,BluePlatypus_Fire
199,LazyCatfish,None,Deer_Ground,None,LazyCatfish_Gold
200,TentacleTurtle,None,DrillGame,None,TentacleTurtle_Ground
201,KendoFrog,None,Ronin_Dark,None,KendoFrog_Dark
202,BlueDragon,None,SnowPeafowl,None,BlueDragon_Ice
203,IceNarwhal,None,WeaselDragon_Fire,None,IceNarwhal_Fire
204,GhostAnglerfish,None,CandleGhost,None,GhostAnglerfish_Fire
205,StuffedShark,None,SharkKid_Fire,None,StuffedShark_Fire
206,LegendDeer,None,LegendDeer,None,LegendDeer
207,Monkey_Fire,None,Monkey_Fire,None,Monkey_Fire
208,Kirin_Ice,None,Kirin_Ice,None,Kirin_Ice
209,ThunderDog_Ice,None,ThunderDog_Ice,None,ThunderDog_Ice
210,ThunderBird_Ice,None,ThunderBird_Ice,None,ThunderBird_Ice
211,SweetsSheep_Ground,None,SweetsSheep_Ground,None,SweetsSheep_Ground
212,ScorpionMan_Electric,None,ScorpionMan_Electric,None,ScorpionMan_Electric
213,BlackPuppy_Ice,None,BlackPuppy_Ice,None,BlackPuppy_Ice
214,GhostRabbit_Grass,None,GhostRabbit_Grass,None,GhostRabbit_Grass
215,NightBlueHorse_Neutral,None,NightBlueHorse_Neutral,None,NightBlueHorse_Neutral
216,OctopusGirl_Neutral,None,OctopusGirl_Neutral,None,OctopusGirl_Neutral
217,WhiteMoth_Neutral,None,WhiteMoth_Neutral,None,WhiteMoth_Neutral
218,WingGolem_Fire,None,WingGolem_Fire,None,WingGolem_Fire
219,FlowerDoll_Fire,None,FlowerDoll_Fire,None,FlowerDoll_Fire
