RowName,OverrideNameTextID,NamePrefixID,OverridePartnerSkillNameTextID,OverridePartnerSkillDescTextID,IsPal,Tribe,BPClass,ZukanIndex,ZukanIndexSuffix,Size,Rarity,ElementType1,ElementType2,GenusCategory,Organization,Weapon,WeaponEquip,Hp,MeleeAttack,ShotAttack,Defense,Support,CraftSpeed,Friendship_HP,Friendship_ShotAttack,Friendship_Defense,Friendship_CraftSpeed,EnemyMaxHPRate,EnemyReceiveDamageRate,EnemyInflictDamageRate,EnemyWazaCoolTimeRate,CaptureRateCorrect,ExpRatio,Price,StatusResistUpRate,AIResponse,AISightResponse,SlowWalkSpeed,WalkSpeed,RunSpeed,RideSprintSpeed,TransportSpeed,SwimSpeed,SwimDashSpeed,IsBoss,IsTowerBoss,IsRaidBoss,UseBossHPGauge,BattleBGM,IgnoreLeanBack,IgnoreBlowAway,IgnoreStun,MaxFullStomach,FullStomachDecreaseRate,FoodAmount,ViewingDistance,ViewingAngle,HearingRate,NooseTrap,Nocturnal,BiologicalGrade,Predator,Edible,Stamina,MaleProbability,CombiRank,CombiDuplicatePriority,IgnoreCombi,MeshCapsuleHalfHeight,MeshCapsuleRadius,MeshRelativeLocation,BestWorkSuitability,WorkSuitability_EmitFlame,WorkSuitability_Watering,WorkSuitability_Seeding,WorkSuitability_GenerateElectricity,WorkSuitability_Handcraft,WorkSuitability_Collection,WorkSuitability_Deforest,WorkSuitability_Mining,WorkSuitability_OilExtraction,WorkSuitability_ProductMedicine,WorkSuitability_Cool,WorkSuitability_Transport,WorkSuitability_MonsterFarm,PassiveSkill1,PassiveSkill2,PassiveSkill3,PassiveSkill4,FirstDefeatRewardItemID
RAID_NightLady,PAL_NAME_NightLady,RAID_NAME_NightLady,None,None,True,NightLady,RAID_NightLady,-1,,XL,10,Dark,None,Humanoid,None,None,False,120,100,140,100,100,100,3.000000,1.000000,2.500000,0.000000,120.000000,1.000000,1.500000,2.000000,1.000000,30.000000,10000.000000,100.000000,Boss,None,3000,3000,3000,3000,3000,3000,3000,True,False,True,True,RaidBoss,True,True,False,150,1.000000,2,25,90,1.000000,False,True,999,False,True,100,0,9999,999900,True,400.000000,120.000000,"(X=0.000000,Y=0.000000,Z=-400.000000)",Handcraft,0,0,0,0,2,0,0,0,0,0,0,2,0,None,None,None,None,None
RAID_NightLady_Dark,PAL_NAME_NightLady_Dark,RAID_NAME_NightLady_Dark,None,None,True,NightLady_Dark,RAID_NightLady_Dark,-1,,XL,10,Dark,None,Humanoid,None,None,False,120,100,150,100,100,100,3.000000,1.000000,2.500000,0.000000,120.000000,0.400000,2.000000,2.000000,1.000000,30.000000,10000.000000,100.000000,Boss,None,3000,3000,3000,3000,3000,3000,3000,True,False,True,True,RaidBoss,True,True,False,150,1.000000,2,25,90,1.000000,False,True,999,False,True,100,0,9999,999900,True,400.000000,120.000000,"(X=0.000000,Y=0.000000,Z=-400.000000)",ProductMedicine,0,0,0,0,2,0,0,0,0,0,0,2,0,None,None,None,None,None
RAID_NightLady_Dark_2,PAL_NAME_NightLady_Dark,RAID_NAME_NightLady_Dark_2,None,None,True,NightLady_Dark,RAID_NightLady_Dark,-1,,XL,10,Dark,None,Humanoid,None,None,False,120,100,150,100,100,100,3.000000,1.000000,2.500000,0.000000,420.000000,0.090000,10.000000,2.000000,1.000000,30.000000,10000.000000,100.000000,Boss,None,3000,3000,3000,3000,3000,3000,3000,True,False,True,True,RaidBoss,True,True,False,150,1.000000,2,25,90,1.000000,False,True,999,False,True,100,0,9999,999900,True,400.000000,120.000000,"(X=0.000000,Y=0.000000,Z=-400.000000)",ProductMedicine,0,0,0,0,2,0,0,0,0,0,0,2,0,None,None,None,None,None
RAID_KingBahamut_Dragon,PAL_NAME_KingBahamut_Dragon,RAID_NAME_KingBahamut_Dragon,None,None,True,KingBahamut_Dragon,RAID_KingBahamut_Dragon,-1,,XL,10,Dragon,Fire,FourLegged,None,None,False,105,150,130,125,50,100,3.800000,1.300000,1.500000,0.000000,140.000000,0.400000,2.000000,2.000000,1.000000,30.000000,10000.000000,100.000000,Boss,None,3000,3000,3000,3000,3000,3000,3000,True,False,True,True,RaidBoss_KingBahamut,True,True,False,600,1.000000,9,25,90,1.000000,False,False,999,False,True,100,50,9999,999900,True,480.000000,250.000000,"(X=-120.000000,Y=0.000000,Z=-480.000000)",Mining,0,0,0,0,0,0,0,4,0,0,0,0,0,None,None,None,None,None
RAID_KingBahamut_Dragon_2,PAL_NAME_KingBahamut_Dragon,RAID_NAME_KingBahamut_Dragon_2,None,None,True,KingBahamut_Dragon,RAID_KingBahamut_Dragon,-1,,XL,10,Dragon,Fire,FourLegged,None,None,False,105,150,130,125,50,100,3.800000,1.300000,1.500000,0.000000,500.000000,0.090000,8.000000,2.000000,1.000000,30.000000,10000.000000,100.000000,Boss,None,3000,3000,3000,3000,3000,3000,3000,True,False,True,True,RaidBoss_KingBahamut,True,True,False,600,1.000000,9,25,90,1.000000,False,False,999,False,True,100,50,9999,999900,True,480.000000,250.000000,"(X=-120.000000,Y=0.000000,Z=-480.000000)",Mining,0,0,0,0,0,0,0,4,0,0,0,0,0,None,None,None,None,None
GYM_WorldTreeDragon,PAL_NAME_LastBoss,GYM_NAME_LastBoss,None,None,True,WorldTreeDragon,GYM_WorldTreeDragon,-1,,XL,8,None,None,None,None,None,False,240,100,200,200,100,100,1.000000,1.000000,1.000000,0.000000,40.000000,1.000000,0.700000,2.000000,1.000000,30.000000,20000.000000,1.000000,Boss,None,-1,400,-1,-1,-1,-1,-1,True,True,False,True,WorldTreeDragon,True,True,True,600,1.000000,9,25,90,1.000000,False,False,9,False,True,100,50,10,1000,True,67.550003,40.000000,"(X=0.000000,Y=0.000000,Z=-67.547000)",EmitFlame,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,None,None
GYM_WorldTreeDragon_2,PAL_NAME_LastBoss,GYM_NAME_LastBoss_Hard,None,None,True,WorldTreeDragon,GYM_WorldTreeDragon_2,-1,,XL,8,None,None,None,None,None,False,288,100,200,200,100,100,1.000000,1.000000,1.000000,0.000000,405.000000,0.450000,5.000000,2.000000,1.000000,30.000000,40000.000000,1.000000,Boss,None,-1,400,-1,-1,-1,-1,-1,True,True,False,True,WorldTreeDragon,True,True,True,600,1.000000,9,25,90,1.000000,False,False,9,False,True,100,50,10,1000,True,67.550003,40.000000,"(X=0.000000,Y=0.000000,Z=-67.547000)",EmitFlame,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,None,None
GYM_BlackGriffon,PAL_NAME_SnowBoss,GYM_NAME_Snow,None,None,True,BlackGriffon,GYM_BlackGriffon,-2,,XL,10,Dark,None,FourLegged,None,None,False,120,130,120,140,90,100,3.000000,1.700000,1.000000,0.000000,28.000000,1.000000,1.000000,2.000000,1.000000,30.000000,6490.000000,1.000000,Boss,None,80,80,850,1300,465,255,360,True,True,False,True,TowerBoss,True,True,False,525,1.000000,8,25,90,1.000000,False,True,9,False,True,100,100,9999,999900,True,130.000000,120.000000,"(X=0.000000,Y=0.000000,Z=-30.000000)",Collection,0,0,0,0,0,1,0,0,0,0,0,0,0,None,None,None,None,None
GYM_ElecPanda,PAL_NAME_GrassBoss,GYM_NAME_Meadow,None,None,True,ElecPanda,GYM_ElecPanda,-2,,XL,8,Electricity,None,Humanoid,None,None,False,105,100,100,100,100,100,3.800000,2.500000,2.500000,0.000000,12.000000,1.000000,1.000000,2.000000,1.000000,30.000000,7048.000000,1.000000,Boss,None,80,140,600,1100,287,180,300,True,True,False,True,TowerBoss,True,True,False,475,1.000000,6,25,90,1.000000,False,False,9,True,True,100,0,9999,999900,True,220.000000,80.000000,"(X=-20.000000,Y=0.000000,Z=-30.000000)",GenerateElectricity,0,0,0,3,2,0,2,0,0,0,0,3,0,None,None,None,None,None
GYM_Horus,PAL_NAME_DessertBoss,GYM_NAME_Desert,None,None,True,Horus,GYM_Horus,-2,,XL,9,Fire,None,Bird,None,None,False,100,100,105,110,90,100,4.000000,2.300000,2.100000,0.000000,27.000000,1.000000,1.000000,2.000000,1.000000,30.000000,5370.000000,1.000000,Boss,None,150,200,1000,1500,500,1000,1000,True,True,False,True,TowerBoss,True,True,False,525,1.000000,8,25,90,1.000000,False,False,9,False,True,100,100,9999,999900,True,300.000000,120.000000,"(X=0.000000,Y=0.000000,Z=-300.000000)",EmitFlame,3,0,0,0,0,0,0,0,0,0,0,3,0,None,None,None,None,None
