RowName,WazaType,Element,IgnoreRandomInherit,Category,Power,DisplayPower,IsLeanBack,CameraShake,IgnoreRaycast,MinRange,MaxRange,MaxHeightDiff,CoolTime,ForceRagdollSize,EffectType1,EffectValue1,EffectValueEx1,EffectType2,EffectValue2,EffectValueEx2,SpecialAttackRateInfos,bIsWeaponDamage,WazaCustomExecuteConditions,bIsExplosionDamage,DisabledData,Strength,BulletEmiiterOverlapClass
NewRow_1,TidalWave,Water,True,Shot,1,1,False,Waza_M,False,100,1000,1000,15.000000,None,Wetness,80,0.000000,None,0,0.000000,,False,,False,True,None,None
NewRow_4,WaterWave,Water,True,Shot,1,1,False,Waza_M,False,700,1500,1500,5.000000,None,None,0,0.000000,None,0,0.000000,,False,,False,True,None,None
NewRow_6,AquaJet,Water,False,Shot,40,40,False,Waza_S,False,500,5000,9999,2.000000,None,Wetness,35,0.000000,None,0,0.000000,,False,,False,False,Weak,None
NewRow_21,WaterGun,Water,False,Shot,50,50,False,Waza_S,False,500,5000,5000,2.000000,None,Wetness,50,0.000000,None,0,0.000000,,False,,False,False,Weak,None
NewRow_51,BubbleShot,Water,False,Shot,80,80,False,Waza_M,False,1000,3500,3500,4.000000,None,Wetness,100,0.000000,None,0,0.000000,,False,,False,False,Medium,None
NewRow_76,AcidRain,Water,False,Shot,120,120,False,Waza_M,True,100,5000,5000,8.000000,None,Wetness,100,0.000000,None,0,0.000000,,False,,False,False,Weak,None
NewRow_85,WaterBall,Water,False,Shot,200,200,False,Waza_L,False,1000,5000,5000,12.000000,S,Wetness,100,0.000000,None,0,0.000000,,False,,False,False,Medium,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/Skill/_BulletEmiiterOverlap/PalWazaBulletEmiiterOverlap_WaterBall.PalWazaBulletEmiiterOverlap_WaterBall_C'
NewRow_88,Unique_BluePlatypus_Toboggan,Water,True,Melee,100,100,False,Waza_M,False,0,500,500,120.000000,XS,Wetness,100,0.000000,None,0,0.000000,,False,,False,False,None,None
NewRow_105,HydroPump,Water,False,Shot,450,450,False,Waza_L,True,500,1800,1800,20.000000,None,Wetness,100,0.000000,None,0,0.000000,,False,,False,False,Strong,None
NewRow,Intimidate,Normal,True,Shot,1,1,False,Waza_M,False,0,9999,9999,1.000000,None,Stun,100,0.000000,None,0,0.000000,,False,,False,True,None,None
NewRow_3,Human_Punch,Normal,True,Melee,12,12,False,Waza_M,False,500,600,600,1.000000,None,None,0,0.000000,None,0,0.000000,"((Type=vsWood,Rate=1.500000),(Type=vsStone,Rate=1.500000))",True,,False,False,None,None
NewRow_7,AirCanon,Normal,False,Shot,40,40,False,Waza_S,False,500,4000,9999,2.000000,None,None,0,0.000000,None,0,0.000000,,False,,False,False,Weak,None
NewRow_15,Unique_ChickenPal_ChickenPeck,Normal,True,Melee,30,30,False,Waza_S,False,0,500,250,2.000000,None,None,0,0.000000,None,0,0.000000,,False,"((Type=GroundHeightDiff,Value=0.000000))",False,False,None,None
NewRow_17,PowerShot,Normal,False,Shot,80,80,False,Waza_S,False,600,3000,3000,4.000000,None,None,0,0.000000,None,0,0.000000,,False,,False,False,Weak,None
NewRow_19,Unique_SheepBall_Roll,Normal,True,Melee,40,40,False,Waza_S,False,0,1000,250,2.000000,None,None,0,0.000000,None,0,0.000000,,False,"((Type=GroundHeightDiff,Value=0.000000))",False,False,None,None
NewRow_23,Unique_PinkCat_CatPunch,Normal,True,Melee,40,40,False,Waza_S,False,0,500,250,2.000000,None,None,0,0.000000,None,0,0.000000,,False,"((Type=GroundHeightDiff,Value=0.000000))",False,False,None,None
NewRow_26,Unique_Alpaca_Tackle,Normal,True,Melee,50,50,False,Waza_S,False,300,1500,400,2.000000,None,None,0,0.000000,None,0,0.000000,,False,"((Type=GroundHeightDiff,Value=0.000000))",False,False,None,None
NewRow_30,Unique_Garm_Bite,Normal,True,Melee,50,50,False,Waza_S,False,800,900,350,2.000000,None,None,0,0.000000,None,0,0.000000,,False,"((Type=GroundHeightDiff,Value=0.000000))",False,False,None,None
