RowName,PalId,WazaID,Level
Anubis001,Anubis,StoneShotgun,1
Anubis007,Anubis,PowerBall,7
Anubis015,Anubis,SandTornado,15
Anubis022,Anubis,Unique_Anubis_LowRoundKick,22
Anubis030,Anubis,Unique_Anubis_Tackle,30
Anubis040,Anubis,Unique_Anubis_GroundPunch,40
Anubis050,Anubis,RockLance,50
Anubis055,Anubis,SandTwister,55
Anubis070,Anubis,RockBeat,70
Boss_Anubis001,BOSS_Anubis,StoneShotgun,1
Boss_Anubis007,BOSS_Anubis,PowerBall,7
Boss_Anubis015,BOSS_Anubis,SandTornado,15
Boss_Anubis022,BOSS_Anubis,Unique_Anubis_LowRoundKick,22
Boss_Anubis030,BOSS_Anubis,Unique_Anubis_Tackle,30
Boss_Anubis040,BOSS_Anubis,Unique_Anubis_GroundPunch,40
Boss_Anubis050,BOSS_Anubis,RockLance,50
Boss_Anubis055,BOSS_Anubis,SandTwister,55
Boss_Anubis070,BOSS_Anubis,RockBeat,70
Baphomet001,Baphomet,FireBlast,1
Baphomet007,Baphomet,FireSeed,7
Baphomet015,Baphomet,FlareArrow,15
Baphomet022,Baphomet,Unique_Baphomet_SwallowKite,22
Baphomet030,Baphomet,DarkWave,30
Baphomet040,Baphomet,FireBall,40
Baphomet050,Baphomet,Inferno,50
Baphomet070,Baphomet,DarkLegion,70
BOSS_Baphomet001,BOSS_Baphomet,FireBlast,1
BOSS_Baphomet007,BOSS_Baphomet,FireSeed,7
BOSS_Baphomet015,BOSS_Baphomet,FlareArrow,15
BOSS_Baphomet022,BOSS_Baphomet,Unique_Baphomet_SwallowKite,22
BOSS_Baphomet030,BOSS_Baphomet,DarkWave,30
BOSS_Baphomet040,BOSS_Baphomet,FireBall,40
BOSS_Baphomet050,BOSS_Baphomet,Inferno,50
BOSS_Baphomet070,BOSS_Baphomet,DarkLegion,70
Baphomet_Dark001,Baphomet_Dark,FireBlast,1
Baphomet_Dark007,Baphomet_Dark,FireSeed,7
Baphomet_Dark015,Baphomet_Dark,FlareArrow,15
Baphomet_Dark022,Baphomet_Dark,Unique_Baphomet_SwallowKite,22
Baphomet_Dark030,Baphomet_Dark,DarkWave,30
Baphomet_Dark035,Baphomet_Dark,Unique_Baphomet_Dark_DarkKite,35
Baphomet_Dark040,Baphomet_Dark,FireBall,40
Baphomet_Dark050,Baphomet_Dark,Inferno,50
Baphomet_Dark070,Baphomet_Dark,DarkLegion,70
BOSS_Baphomet_Dark001,BOSS_Baphomet_Dark,FireBlast,1
BOSS_Baphomet_Dark007,BOSS_Baphomet_Dark,FireSeed,7
BOSS_Baphomet_Dark015,BOSS_Baphomet_Dark,FlareArrow,15
BOSS_Baphomet_Dark022,BOSS_Baphomet_Dark,Unique_Baphomet_SwallowKite,22
BOSS_Baphomet_Dark030,BOSS_Baphomet_Dark,DarkWave,30
BOSS_Baphomet_Dark035,BOSS_Baphomet_Dark,Unique_Baphomet_Dark_DarkKite,35
BOSS_Baphomet_Dark040,BOSS_Baphomet_Dark,FireBall,40
BOSS_Baphomet_Dark050,BOSS_Baphomet_Dark,Inferno,50
BOSS_Baphomet_Dark070,BOSS_Baphomet_Dark,DarkLegion,70
PREDATOR_Baphomet_Dark001,PREDATOR_Baphomet_Dark,FireBlast,1
PREDATOR_Baphomet_Dark007,PREDATOR_Baphomet_Dark,FireSeed,7
PREDATOR_Baphomet_Dark010,PREDATOR_Baphomet_Dark,PredatorWave,10
PREDATOR_Baphomet_Dark015,PREDATOR_Baphomet_Dark,FlareArrow,15
PREDATOR_Baphomet_Dark020,PREDATOR_Baphomet_Dark,PredatorLockon,20
PREDATOR_Baphomet_Dark022,PREDATOR_Baphomet_Dark,Unique_Baphomet_SwallowKite,22
PREDATOR_Baphomet_Dark030,PREDATOR_Baphomet_Dark,PredatorBeam,30
PREDATOR_Baphomet_Dark035,PREDATOR_Baphomet_Dark,Unique_Baphomet_Dark_DarkKite,35
PREDATOR_Baphomet_Dark040,PREDATOR_Baphomet_Dark,FireBall,40
